account_id,firm_name,domain,industry,num_advisors,custodian,service_model,tax_services,fee_model,last_verified,data_source,hygiene_override
ACC-1021,Altfest Personal Wealth Management,altfest.com,Financial Services,28,Schwab,Ongoing Advisory,In-House,Flat Fee,2026-07-13,rep_verified,FALSE
ACC-1022,Gerber Kawasaki,gerberkawasaki.com,Financial Services,20,Schwab,Ongoing Advisory,Referral Partner,AUM Percentage,2025-02-16,crm_manual,FALSE
ACC-1023,Rebalance,rebalance360.com,Financial Services,20,Schwab,Ongoing Advisory,None,AUM Percentage,2026-04-27,crm_manual,FALSE
ACC-1024,Modera Wealth Management,moderawealth.com,Financial Services,58,Schwab,Ongoing Advisory,In-House,AUM Percentage,2025-03-15,bulk_import,FALSE
ACC-1025,Yeske Buie,yebu.com,Financial Services,9,-,Ongoing Advisory,Referral Partner,Flat Fee,2026-08-29,crm_manual,FALSE
ACC-1026,Arnerich Massena,arnerichmassena.com,Financial Services,26,Fidelity,Ongoing Advisory,In-House,AUM Percentage,2026-06-10,crm_manual,FALSE
ACC-1027,Sullivan Bruyette Speros & Blayney,sbsbfinancial.com,Financial Services,48,Schwab,Hybrid,In-House,AUM Percentage,2025-02-10,rep_verified,FALSE
ACC-1028,Aspiriant,aspiriant.com,Financial Services,105,Fidelity,Ongoing Advisory,In-House,AUM Percentage,2026-07-29,crm_manual,FALSE
ACC-1029,Laird Norton Wealth Management,lairdnortonwm.com,Financial Services,35,Schwab,Ongoing Advisory,In-House,AUM Percentage,2025-05-18,crm_manual,FALSE
ACC-1030,Pure Financial Advisors,purefinancialadvisors.com,Financial Services,44,Schwab,Hybrid,Referral Partner,AUM Percentage,2026-08-10,crm_manual,TRUE
ACC-1031,Wetherby Asset Management,wetherby.com,Financial Services,38,Fidelity,Ongoing Advisory,Referral Partner,-,2026-07-20,crm_manual,FALSE
ACC-1032,SEIA,seia.com,Financial Services,70,Fidelity,Ongoing Advisory,Referral Partner,AUM Percentage,2025-03-15,bulk_import,FALSE
ACC-1033,Chevy Chase Trust,chevychasetrust.com,Financial Services,21,Pershing,Ongoing Advisory,In-House,AUM Percentage,2025-01-13,crm_manual,FALSE
ACC-1034,Bone Fide Wealth,bonefidewealth.com,Financial Services,3,Altruist,Hybrid,None,Subscription,2026-07-20,crm_manual,FALSE
ACC-1035,TrueWealth Management,truewealthmanagement.com,Financial Services,14,Schwab,Ongoing Advisory,Referral Partner,AUM Percentage,2026-07-05,crm_manual,FALSE
ACC-1036,Merriman Wealth Management,merriman.com,Financial Services,30,Schwab,Ongoing Advisory,Referral Partner,Flat Fee,2026-05-18,crm_manual,FALSE
ACC-1037,Hemington Wealth Management,hemingtonwm.com,Financial Services,11,Schwab,Ongoing Advisory,Referral Partner,Flat Fee,2026-07-10,crm_manual,FALSE
ACC-1038,Parsec Financial,parsecfinancial.com,Financial Services,40,Schwab,Ongoing Advisory,TBD,AUM Percentage,2026-08-30,crm_manual,FALSE
ACC-1039,Cardinal Point Wealth,cardinalpointwealth.com,Financial Services,16,Schwab,Hybrid,In-House,AUM Percentage,2026-06-13,crm_manual,FALSE
